,0
64," İnzibati xəta törətmiş şəxs haqqında tətbiq edilən tənbeh ədalətli olmalıdır, yəni inzibati xətaların xarakterinə, onun törədilməsi hallarına və inzibati xətanı törətməkdə təqsirli bilinənin şəxsiyyətinə uyğun olmalıdır"
65,9
66,2
67, Bir inzibati xətaya görə heç kim iki dəfə inzibati məsuliyyətə cəlb oluna bilməz
68," Uzanan inzibati xətaya görə şəxs inzibati məsuliyyətə cəlb olunduqdan sonra da bu xətanı törətməkdə davam edirsə, inzibati məsuliyyətə cəlb olunur"
69,[3][3] Maddə 10
70," İnzibati xətaların qarşısının alınması prinsipi Dövlət orqanları (qurumları) və bələdiyyələr inzibati xətaların qarşısının alınması, inzibati xətaların törədilməsinə kömək edən səbəblərin və şəraitin aşkar edilməsi və aradan qaldırılması, vətəndaşların hüquq şüurunun və mədəniyyətinin yüksəldilməsi və Azərbaycan Respublikasının qanunlarına ciddi əməl etmək ruhunda tərbiyə olunması sahəsində tədbirlər hazırlayır və həyata keçirirlər"
71,[4][4] Maddə 11
72, Azərbaycan Respublikasının inzibati xətalar qanunvericiliyinin qüvvəsi 11
73,1
74," Azərbaycan Respublikasında inzibati xətalar haqqında işlər üzrə icraatın aparılması, inzibati xətalar haqqında işlər üzrə qərarların qəbul və icra edilməsi həmin vaxtda qüvvədə olan Azərbaycan Respublikasının inzibati xətalar qanunvericiliyinə uyğun olaraq həyata keçirilir"
75,11
76,2
77," İnzibati xətalara görə məsuliyyəti yüngülləşdirən və ya onu aradan qaldıran normativ hüquqi aktların geriyə qüvvəsi vardır, yəni həmin aktlar onların qüvvəyə mindiyi vaxtadək törədilmiş, həmçinin inzibati tənbeh tətbiq etmə haqqında qərarı tam icra olunmamış xətalara da şamil edilir"
78,11
79,3
80, İnzibati xətalara görə məsuliyyət müəyyən edən və ya məsuliyyəti gücləndirən normativ hüquqi aktların geriyə qüvvəsi yoxdur
81, FƏSİL 2 İnzibati xəta və inzibati məsuliyyət Maddə 12
82, İnzibati xəta anlayışı 12
83,1
84," Bu Məcəllə ilə qorunan ictimai münasibətlərə qəsd edən, hüquqazidd olan, təqsirli sayılan (qəsdən və ya ehtiyatsızlıqdan törədilən) və inzibati məsuliyyətə səbəb olan əməl (hərəkət və ya hərəkətsizlik) inzibati xəta hesab olunur"
85,12
86,2
87," Bu Məcəllənin Xüsusi hissəsində nəzərdə tutulan əməllərə görə inzibati məsuliyyət o halda yaranır ki, bu əməllər cinayət məsuliyyətinə səbəb olmasın"
88,KMQ17 Maddə 13
89," İnzibati xətanın qəsdən törədilməsi İnzibati xəta törətmiş şəxs öz əməlinin (hərəkətinin və ya hərəkətsizliyinin) hüquqazidd xarakterini dərk etmiş, onun zərərli nəticələrini qabaqcadan görmüş və bunları arzu etmişdirsə, yaxud belə nəticələrin baş verməsinə şüurlu surətdə yol vermişdirsə, bu xəta qəsdən törədilmiş xəta hesab olunur"
90, Maddə 14
91," İnzibati xətanın ehtiyatsızlıqdan törədilməsi İnzibati xəta törətmiş şəxs öz əməlinin (hərəkətinin və ya hərəkətsizliyinin) zərərli nəticələr verə biləcəyi imkanını qabaqcadan görmüş, lakin kifayət qədər əsas olmadan onların qarşısını alacağını güman etmişdirsə, yaxud bu nəticələrin baş verəcəyini lazımi diqqət və ehtiyatlılıq göstərərək qabaqcadan görməli olduğu və görə biləcəyi halda, onları görməmişdirsə, bu xəta ehtiyatsızlıqdan törədilmiş xəta hesab olunur"
92, Maddə 15
93," Anlaqsızlıq Hüquqazidd əməl (hərəkət və ya hərəkətsizlik) törədən zaman şəxs anlaqsız vəziyyətdə olduqda, yəni xroniki psixi xəstəlik, psixi fəaliyyətin müvəqqəti pozulması, əqli gerilik və ya başqa psixi xəstəlik nəticəsində öz əməlinin faktiki xarakterini və ictimai təhlükəliliyini dərk etmək və ya onu idarə etmək iqtidarında olmadıqda o, inzibati məsuliyyətə cəlb edilmir"
94,[5][5] Maddə 16
95, Fiziki şəxslərin inzibati məsuliyyəti 16
96,1
97, İnzibati xəta törədərkən on altı yaşı tamam olmuş fiziki şəxslər inzibati məsuliyyətə cəlb olunurlar
98, 16
99,2
100," İnzibati həbs və ya ictimai işlər növündə inzibati tənbeh nəzərdə tutan inzibati xətalar istisna olmaqla, şəxsin psixi inkişafı, həyat şəraiti, səhhəti və təhsili nəzərə alınmaqla, ilk dəfə inzibati xəta törətmiş on altı yaşından on səkkiz yaşınadək şəxslər yetkinlik yaşına çatmayanların işləri və hüquqlarının müdafiəsi üzrə komissiyalar tərəfindən inzibati məsuliyyətdən azad oluna və onların barəsində Azərbaycan Respublikasının 2002-ci il 31 may tarixli 336-IIQ nömrəli Qanunu ilə təsdiq edilmiş “Yetkinlik yaşına çatmayanların işləri və hüquqlarının müdafiəsi üzrə komissiyalar haqqında Əsasnamə” ilə müəyyən edilmiş təsir tədbirləri tətbiq edilə bilər"
101,16
102,3
103," İntizam nizamnamələrində bilavasitə nəzərdə tutulmuş hallarda hərbi qulluqçular inzibati xətalara görə intizam məsuliyyəti, qalan hallarda isə ümumi əsaslarla inzibati məsuliyyət daşıyırlar"
104," Hərbi qulluqçulara ictimai işlər, həmçinin bu Məcəllənin 41-ci fəslində nəzərdə tutulmuş inzibati xətalar istisna olmaqla digər inzibati xətalara görə inzibati həbs tətbiq edilə bilməz"
105,[6][6]16
106,4
107," İnzibati tənbeh tətbiq etmə hüququ olan hakim, səlahiyyətli orqan (vəzifəli şəxs) bu Məcəllənin 16"
108,"3-cü maddəsində göstərilən şəxslər barəsində inzibati tənbeh tətbiq etmək əvəzinə, inzibati xəta törətmiş şəxsin intizam məsuliyyətinə cəlb olunması məsələsinin həll edilməsi üçün inzibati xətalar haqqında işlər üzrə materialları müvafiq icra hakimiyyəti orqanına verə bilərlər"
109,16
110,5
111, Əcnəbilər və vətəndaşlığı olmayan şəxslər Azərbaycan Respublikasının ərazisində törətdikləri inzibati xətalara görə ümumi əsaslarla inzibati məsuliyyətə cəlb olunurlar
112,16
113,6
114, Azərbaycan Respublikasının tərəfdar çıxdığı beynəlxalq müqavilələrə əsasən Azərbaycan Respublikasında toxunulmazlıq hüququndan istifadə edən əcnəbilərin Azərbaycan Respublikasının ərazisində törətdikləri inzibati xətalara görə məsuliyyət məsələsi beynəlxalq hüquq normalarına uyğun olaraq həll edilir
115,Qeyd:1
116, Bu Məcəllənin 16
117,"3-cü maddəsində “hərbi qulluqçular” dedikdə, müvafiq icra hakimiyyəti orqanının zabit heyəti, gizirləri, miçmanları, müddətindən artıq xidmət hərbi qulluqçuları, müddətli həqiqi hərbi xidmət hərbi qulluqçuları və hərbi qulluqçu hazırlayan xüsusi təyinatlı təhsil müəssisələrinin kursantları başa düşülür"
118,2
119," Bu Məcəllədə “əcnəbi” dedikdə, Azərbaycan Respublikasının vətəndaşı olmayan və başqa dövlətin vətəndaşlığına mənsub olan şəxs başa düşülür"
120,3
121," Bu Məcəllədə “vətəndaşlığı olmayan şəxs” dedikdə, heç bir dövlət tərəfindən onun qanununa əsasən vətəndaş hesab edilməyən şəxs başa düşülür"
122, Maddə 17
123, Vəzifəli şəxslərin inzibati məsuliyyəti KMQ18 Vəzifəli şəxslər öz vəzifələrinin yerinə yetirilməməsi və ya lazımınca yerinə yetirilməməsi ilə bağlı inzibati xətalara görə inzibati məsuliyyətə cəlb olunurlar
124," Qeyd: Dövlət hakimiyyətinin nümayəndəsi funksiyasını həyata keçirən şəxslər, dövlət orqanlarında, bələdiyyələrdə, Azərbaycan Respublikasının Silahlı Qüvvələrində və Azərbaycan Respublikasının qanunvericiliyinə uyğun olaraq yaradılmış başqa silahlı birləşmələrdə, dövlət və qeyri-dövlət təşkilatlarında, idarə və müəssisələrində, o cümlədən publik hüquqi şəxslərdə təşkilati-sərəncamverici və ya inzibati-təsərrüfat vəzifələrində daimi və ya müvəqqəti işləyən şəxslər və ya həmin vəzifələri xüsusi səlahiyyət əsasında həyata keçirən şəxslər, habelə hüquqi şəxs yaratmadan sahibkarlıq fəaliyyəti ilə məşğul olaraq belə səlahiyyətləri yerinə yetirən fiziki şəxslər vəzifəli şəxs hesab edilirlər"
125,[7][7] Maddə 18
126, Hüquqi şəxslərin inzibati məsuliyyəti 18
127,1
128," Hüquqi şəxslər, o cümlədən xarici hüquqi şəxslər və xarici hüquqi şəxslərin filial və nümayəndəlikləri bu Məcəllənin Xüsusi hissəsində nəzərdə tutulmuş inzibati xətalara görə inzibati məsuliyyətə cəlb olunurlar"
129,18
130,2
131, Hüquqi şəxs inzibati məsuliyyətə həmin hüquqi şəxsin xeyrinə və ya onun maraqlarının qorunması üçün aşağıdakı şəxslər tərəfindən törədilən inzibati xətalara görə cəlb edilir:18
132,2
133,1
134, hüquqi şəxsi təmsil etmək səlahiyyətinə malik olan vəzifəli şəxs;18
135,2
136,2
137, hüquqi şəxsin adından qərarlar qəbul etmək səlahiyyətinə malik olan vəzifəli şəxs;18
138,2
139,3
140, hüquqi şəxsin fəaliyyətinə nəzarət etmək səlahiyyətinə malik olan vəzifəli şəxs;18
141,2
142,4
143, bu Məcəllənin 18
144,2
145,1-18
146,2
147,3-cü maddələrində nəzərdə tutulmuş vəzifəli şəxslər tərəfindən nəzarətin həyata keçirilməməsi nəticəsində hüquqi şəxsin işçisi
148,18
149,3
150, Hüquqi şəxsin inzibati məsuliyyətə cəlb edilməsi həmin əməli törətmiş və ya onun törədilməsində hər hansı şəkildə iştirak etmiş vəzifəli şəxsin inzibati məsuliyyətini istisna etmir
151,18
152,4
153, Bu Məcəllənin 18
154,2-ci maddəsində nəzərdə tutulmuş vəzifəli şəxs barəsində bu Məcəllənin 53
155,1
156,8-ci maddəsinə əsasən inzibati xəta haqqında işin icraatına xitam verilməsi hüquqi şəxsin inzibati məsuliyyətə cəlb edilməsinə mane olmur
157,[8][8]18
158,5 Bu Məcəllənin 127-4
159,"5-ci maddəsində nəzərdə tutulmuş hal istisna olmaqla, hüquqi şəxs barəsində inzibati tənbeh yalnız hakim tərəfindən tətbiq edilir"
160,[9][9]18
161,6
162, Bu Məcəllənin 127-4
163,"5-ci maddəsində nəzərdə tutulmuş hal istisna olmaqla, səlahiyyətli orqanlar (vəzifəli şəxslər) bu Məcəllənin 18"
164,"2-ci maddəsində müəyyən edilmiş əsasların olması qənaətinə gəldikdə, inzibati xəta haqqında protokolu baxılmaq üçün məhkəməyə göndərirlər"
165,[10][10]18
166,7
167, Bu Məcəllənin 18
168,"2-ci maddəsində müəyyən edilmiş əsaslar olmadıqda, səlahiyyətli orqanlar (vəzifəli şəxslər) inzibati xəta haqqında iş üzrə qərar qəbul edir"
169, 18
170,8
171," Məhkəmə tərəfindən inzibati xəta haqqında iş üzrə qərar qəbul olunanadək hüquqi şəxs yenidən təşkil olunduqda, inzibati məsuliyyətə hüquqi şəxsin hüquqi varisi cəlb olunur"
172," Məhkəmə tərəfindən inzibati xəta haqqında iş üzrə qərar qəbul olunduğu vaxtdan tam icra olunana və ya ləğv edilənədək hüquqi şəxsin yenidən təşkil olunması, yaxud təsisçilərinin (iştirakçılarının) və ya hüquqi şəxsin nizamnamə ilə vəkil edilmiş orqanının qərarı ilə ləğv edilməsi qadağandır"
173, FƏSİL 3 Əməlin inzibati xəta olmasını aradan qaldıran hallar Maddə 19
174, Son zərurət 19
175,1
176," Bu Məcəllənin Xüsusi hissəsində nəzərdə tutulmuş əməllərin əlamətlərinə uyğun olsa da, son zərurət vəziyyətində, yəni şəxsin özünün və ya başqa şəxsin həyatını, sağlamlığını və ya hüquqlarını, dövlətin və ya cəmiyyətin mənafeyini qorxu altına alan təhlükəni aradan qaldırmaq üçün edilmiş hərəkət, əgər həmin vəziyyətdə bu təhlükəni digər vasitə ilə aradan qaldırmaq mümkün deyildirsə və bu zaman son zərurət həddinin aşılmasına yol verilməmişdirsə, bu, inzibati xəta hesab olunmur"
177,19
178,2
179," Baş vermiş təhlükənin xarakterinə və dərəcəsinə, habelə həmin təhlükənin aradan qaldırılması şəraitinə aşkar surətdə uyğun olmayan zərər vurulması və vurulmuş zərərin qarşısı alınmış zərərə bərabər və ya ondan artıq olması son zərurət həddini aşma sayılır"
180, Son zərurət həddini bu qaydada aşma yalnız qəsdən zərər vurulduqda inzibati məsuliyyətə səbəb olur
181, Maddə 20
182, Zəruri müdafiə 20
183,1
184," Bu Məcəllənin Xüsusi hissəsində nəzərdə tutulmuş əməllərin əlamətlərinə uyğun olsa da, zəruri müdafiə vəziyyətində, yəni özünü müdafiə edənin və ya başqa şəxsin həyatına, sağlamlığına və ya hüquqlarına, dövlətin və ya cəmiyyətin mənafeyinə qəsd edənə zərər vurmaq yolu ilə hüquqazidd qəsddən qoruyarkən edilmiş hərəkət, zəruri müdafiə həddini aşmamışdırsa, inzibati xəta hesab olunmur"
185,20
186,2
187, Qəsdin xarakterinə və ictimai təhlükəlilik dərəcəsinə açıq-aşkar uyğun gəlməyən qəsdən törədilən hərəkətlər zəruri müdafiə həddini aşmaq hesab edilir
188, FƏSİL 4 İnzibati tənbeh Maddə 21
189," İnzibati tənbehin məqsədləri İnzibati tənbeh məsuliyyət tədbiridir və inzibati xəta törədən şəxsi qanunlara əməl edilməsi ruhunda tərbiyələndirmək, habelə həm inzibati xəta törətmiş şəxs, həm də başqa şəxslər tərəfindən yeni inzibati xəta törədilməsinin qarşısını almaq məqsədi daşıyır"
190, Maddə 22
191, İnzibati tənbeh növləri 22
192,1
193, İnzibati tənbeh növləri aşağıdakılardır:22
194,1
195,1
196, xəbərdarlıq;22
197,1
198,2
199, inzibati cərimə;22
200,1
201,3
202, inzibati xətanın törədilməsində alət və ya inzibati xətanın bilavasitə obyekti olmuş predmetin müsadirəsi;22
203,1
204,4
205, fiziki şəxsə verilmiş xüsusi hüququn məhdudlaşdırılması;22
206,1
207,5
208, ictimai işlər;22
209,1
210,6
211, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma;22
212,1
213,7
214, inzibati həbs
215,22
216,2
217, Hüquqi şəxslər barəsində bu Məcəllənin 22
218,1
219,1-22
220,1
221,3-cü maddələrində nəzərdə tutulan inzibati tənbeh növləri tətbiq edilir
222,  Maddə 23
223, Əsas və əlavə inzibati tənbehlər 23
224,1
225," Xəbərdarlıq, inzibati cərimə, ictimai işlər və ya inzibati həbs yalnız əsas inzibati tənbeh növləri kimi tətbiq edilir"
226,23
227,2
228," İnzibati xətanın törədilməsində alət və ya inzibati xətanın bilavasitə obyekti olmuş predmetin müsadirəsi, fiziki şəxsə verilmiş xüsusi hüququn məhdudlaşdırılması, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma həm əsas, həm də əlavə inzibati tənbeh növləri kimi tətbiq edilə bilər"
229, 23
230,3
231," Bir inzibati xətaya görə əsas tənbeh, yaxud əsas və əlavə tənbeh tətbiq edilə bilər"
232, Maddə 24
233, Xəbərdarlıq 24
234,1
235," Xəbərdarlıq inzibati tənbeh növü olmaqla, hüquqazidd əməlin yolverilməzliyi barədə şəxslərə edilən rəsmi xəbərdaredici tədbirdir"
236, Xəbərdarlıq yazılı formada edilir
237,24
238,2
239," Xəbərdarlıq bu Məcəllənin Xüsusi hissəsinin müvafiq maddəsində nəzərdə tutulduqda o halda tətbiq olunur ki, həmin maddədə nəzərdə tutulmuş xətaya görə şəxs ilk dəfə inzibati məsuliyyətə cəlb olunur və xəta nəticəsində vurulmuş zərərin əvəzi tam ödənilir"
240, Maddə 25
241, İnzibati cərimə 25
242,1
243," İnzibati cərimə bu Məcəllədə nəzərdə tutulmuş hallarda hakim, səlahiyyətli orqan (vəzifəli şəxs) tərəfindən təyin edilən və təqsirkar şəxsdən dövlətin xeyrinə məcburi tutulan pul məbləğidir"
244,25
245,2
246, İnzibati cərimə manatla və ya aşağıdakı digər meyarlarla ifadə oluna bilər:25
247,2
248,1
249, inzibati xətanın başa çatdığı və ya qarşısının alındığı vaxt inzibati xətanın bilavasitə obyekti olmuş predmetin dəyəri;25
250,2
251,2
252, inzibati xəta nəticəsində vurulmuş ziyanın (əldə edilmiş gəlirin) miqdarı;25
253,2
254,3
255," inzibati xətanın başa çatdığı və ya onun qarşısının alındığı vaxt ödənilməli olan, lakin ödənilməmiş ödənişlərin, vergilərin məbləği"
256,25
257,3
258, İnzibati xətalara görə Azərbaycan Respublikasının diplomatik nümayəndəlikləri və konsulluqları tərəfindən tətbiq edilən inzibati cərimələr həmin nümayəndəlik və konsulluqların yerləşdiyi xarici ölkənin valyutası ilə tutulur
259,[11][11]25
260,4
261," Manatla hesablanan və inzibati xətaya görə fiziki şəxsdən alınan inzibati cərimənin məbləği beş min manatdan, vəzifəli şəxsdən alınan inzibati cərimənin məbləği on min manatdan, hüquqi şəxsdən alınan inzibati cərimənin məbləği əlli min manatdan artıq ola bilməz"
262,25
263,5
264," İnzibati xətanın bilavasitə obyekti olmuş predmetin dəyəri ilə ölçülən cərimənin məbləği həmin predmetin dəyərinin yüz faizindən, ödənilməmiş ödənişlərin, vergilərin məbləği ilə ölçülən cərimənin məbləği isə həmin ödənişlərin, vergilərin yüz əlli faizindən artıq ola bilməz"
265,25
266,6
267, İnzibati xəta nəticəsində vurulmuş ziyanın (əldə edilmiş gəlirin) miqdarı ilə ölçülən cərimənin məbləği həmin ziyanın (əldə edilmiş gəlirin) on mislindən artıq ola bilməz
268, 25
269,7
270, Bu Məcəllənin 116
271,1-ci maddəsi ilə müəyyən edilmiş hallarda inzibati cərimə şərti olaraq tətbiq edilir
272,25
273,8
274," Qanunla müəyyən edilmiş hallar istisna olmaqla, inzibati cərimə Azərbaycan Respublikasının dövlət büdcəsinə ödənilir"
275,  Maddə 26
276, İnzibati xətanın törədilməsində alət və ya inzibati xətanın bilavasitə obyekti olmuş predmetin müsadirəsi 26
277,1
278," İnzibati xəta törətmiş şəxsin xüsusi mülkiyyətində olan, inzibati xətanın törədilməsində alət və ya inzibati xətanın bilavasitə obyekti olmuş predmetin müsadirəsi bu Məcəllənin Xüsusi hissəsində nəzərdə tutulmuş hallarda həmin predmetin məcburi qaydada və ödənişsiz dövlətin mülkiyyətinə keçməsindən ibarətdir"
279,26
280,2
281, İnzibati xətanın törədilməsində alət və ya inzibati xətanın bilavasitə obyekti olmuş predmetin müsadirəsi yalnız hakim tərəfindən tətbiq edilir
282,26
283,3
284," Əsas dolanacaq mənbəyi ov olan şəxslərin odlu silahı, döyüş sursatı və digər ov alətləri müsadirə edilə bilməz"
285,26
286,4
287, Müsadirənin tətbiqi qaydası bu Məcəllə ilə müəyyən edilir
288, Maddə 27
289, Fiziki şəxsə verilmiş xüsusi hüququn məhdudlaşdırılması 27
290,1
291, Fiziki şəxs ona verilmiş xüsusi hüquqdan istifadə qaydasını kobud şəkildə və ya müntəzəm pozduqda həmin hüquq bu Məcəllənin Xüsusi hissəsində nəzərdə tutulmuş hallarda iki aydan iki ilədək müddətə məhdudlaşdırılır
292,27
293,2
294, Bu Məcəllənin 327
295,"7-ci maddəsində nəzərdə tutulmuş hal istisna olmaqla, fiziki şəxsə verilmiş xüsusi hüququn məhdudlaşdırılması yalnız hakim tərəfindən tətbiq edilir"
296,27
297,3
298, Bu Məcəllənin 327
299,"8, 333, 333-1, 342"
300,"8, 343 və 343-1-ci maddələrində nəzərdə tutulmuş hallar istisna olmaqla, nəqliyyat vasitələrindən əlilliyi ilə əlaqədar istifadə edən şəxslərin nəqliyyat vasitəsini idarə etmək hüququ məhdudlaşdırıla bilməz"
301,[12][12]27
302,4
303, Bu Məcəllənin 327
304,"7-ci maddəsində göstərilən balla qiymətləndirilən xətaların yol verilməsinə görə sürücülər bir il ərzində 20 və daha çox bal topladıqda, inzibati cərimə tətbiq edilmədən onların nəqliyyat vasitəsini idarə etmək hüququ məhdudlaşdırılır"
305,27
306,5
307, Əsas dolanacaq mənbəyi ov olan fiziki şəxslərin ov hüququ məhdudlaşdırıla bilməz
308,  Maddə 28
309, İctimai işlər 28
310,1
311," İctimai işlər, barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxsin əsas işindən və ya təhsilindən asudə vaxtlarında haqqı ödənilmədən cəmiyyətin xeyrinə ictimai faydalı işlər yerinə yetirməsindən ibarətdir"
312, Belə işlərin növləri müvafiq icra hakimiyyəti orqanı tərəfindən müəyyən edilir
313,[13][13]28
314,2
315, İctimai işlər yalnız hakim tərəfindən tətbiq edilir
316,28
317,3
318, İctimai işlər altmış saatdan iki yüz qırx saatadək müddətə müəyyən edilir və gün ərzində dörd saatdan çox ola bilməz
319,28
320,3-1
321, Məhkəmə tərəfindən ictimai işlər növündə inzibati tənbeh tətbiq olunmuş şəxslərin üzərinə həmin işlərin yerinə yetirildiyi yerlərdə elektron nəzarət vasitəsini gəzdirmək və həmin vasitənin işlək vəziyyətdə saxlanılması üçün ona xidmət etmək vəzifəsi qoyulur
322,[14][14]28
323,4
324, İctimai işlər aşağıdakı şəxslərə tətbiq oluna bilməz:28
325,4
326,1
327," orqanizmin funksiyalarının 61-100 faiz pozulmasına görə əlilliyi müəyyən edilmiş şəxslərə, 18 yaşınadək əlilliyi müəyyən edilmiş şəxslərə;[15][15] 28"
328,4
329,2
330, hamilə qadınlara;28
331,4
332,3
333, himayəsində üç yaşınadək uşağı olan qadınlara;28
334,4
335,4
336, üç yaşına çatmamış uşağını təkbaşına böyüdən kişilərə;[16][16]28
337,4
338,5
339, pensiya yaşına çatmış qadın və kişilərə;28
340,4
341,6
342, hərbi qulluqçulara
343,[17][17] Maddə 29
344, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma 29
345,1
346, Bu Məcəllənin Xüsusi hissəsində nəzərdə tutulmuş hallarda əcnəbilər və ya vətəndaşlığı olmayan şəxslər barəsində Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma tətbiq edilir
347, 29
348,2
349, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma hakim və ya səlahiyyətli orqan (vəzifəli şəxs) tərəfindən tətbiq edilir
350, 29
351,3
352, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarılmış əcnəbilərin və ya vətəndaşlığı olmayan şəxslərin Azərbaycan Respublikasına gəlmək hüququ 1 ildən 5 ilədək müddətə məhdudlaşdırılır
353,29
354,4
355," Qaçqın statusuna malik olan və ya Azərbaycan Respublikası tərəfindən siyasi sığınacaq verilən şəxslər, habelə insan alverinin qurbanı olan uşaqlar barəsində Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma tətbiq edilmir"
356,29
357,5
